cid,Comment,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79LcPm2Cuni0,"yeah it was tolerable then, but now it is super hero movies every week and they're the same repetitive crap.",3 years ago,@k.baller5140,UCFdXZKSFsCV55Znv8GsPdBA,4,,https://yt3.ggpht.com/ytc/AIdro_nEtKRlOHOyq2POOB1o2l8dwe5yGkzBYVc9wPIshuU=s88-c-k-c0x00ffffff-no-rj,False,True,1639357754.68519
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79LzjtMwWWrF," Charlie Sosa  i agree before MCU the only good superhero movies were xmen, sam raimi's spider man and ill have to add Christopher Nolan's Batman. Everything else was trash",3 years ago,@jerryakamuadams6399,UC4iEbExnhENfHYI7jWp6Zcg,1,,https://yt3.ggpht.com/ytc/AIdro_kjUVrqCB6UWF75gLzU932nE3hFxWgq9DnF2J5ZgTdjAIb7ONkpz4bBRKOhrX02vgoUJA=s88-c-k-c0x00ffffff-no-rj,False,True,1639357754.686158
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79NERMJgDxm7,"These films are forgotten now
Today, these films are not controversial
Because they are pure bullshit",3 years ago,@karangupta1825,UCZXvyslW_xp1IEWp4sLKkKg,3,,https://yt3.ggpht.com/ytc/AIdro_nKZ0i2YsnejU_xc7DU-iBmRsBv7gLl3rqorgUgpqg=s88-c-k-c0x00ffffff-no-rj,False,True,1639357754.68719
UgxKBeYFk1gw8S0lz8V4AaABAg.8fVLyruF9Q79Pai73RU-B2,"Pretty sure the same generation who saw this movie in theaters are still watching the new ones, and the ones who see just getting into these are going to go back to watch the old ones",3 years ago,@bluepeng8895,UClvdSajx06wykda0pL-SXyA,2,,https://yt3.ggpht.com/ytc/AIdro_mQi15Ov2tLwQ1iCGI_PrwUKk9ccMd6-NchnnZqjbX_8A=s88-c-k-c0x00ffffff-no-rj,False,True,1639357754.690148
UgyVa02XdP8rWriPSnl4AaABAg.9Mh6w3m_8tY9eh1wT4I4jy,"At the time iron man wasn't a A-List superhero and Robert Downey was known as a crackhead, they had to make a good trailer or else",2 years ago,@_ripVanWinkle_,UCSI9bUYBOFSFcArMl_6kcsQ,45,,https://yt3.ggpht.com/1y3YAYGVcFGles4VGwqQzYpQFmsNkZC2iGscE05RcUztriPKKIl5Fn7W_0lqrNkD-xU19OTB8w=s88-c-k-c0x00ffffff-no-rj,False,True,1670893754.943713
UgyVa02XdP8rWriPSnl4AaABAg.9Mh6w3m_8tY9r-qacRyJ0I,"what else to do men? this is the origin story & everybody knows what to expect. they watched it not to see the storyline, they watched it to see whether the film is good or bad,",1 year ago,@chathuralakshan542,UCLsVJJJi1oNUdHCrgx39ehw,5,,https://yt3.ggpht.com/ytc/AIdro_lo0VyDSrgeCcCW3YPGPejZIyeVzCCYiDY_eoTJW3Q=s88-c-k-c0x00ffffff-no-rj,False,True,1702429754.944714
Ugx-nYDeY70QjCNqSyN4AaABAg.8fOpIKRHt3n9LYi6Mv3CU2," @andrewsutherland133  
OP should have said between and not since. I was real tempted to post “Oh man, Iron Man and Infinity War both came out 10 years ago?” Until I saw the comments.",3 years ago,@halocrafter300,UCnwRxV6KnOdJTc4hnmfnzkQ,0,,https://yt3.ggpht.com/ytc/AIdro_mYC8ubYuRNevlr4mhlV117vZigjtNffVTEjmX3s4lM0Q=s88-c-k-c0x00ffffff-no-rj,False,True,1639357755.273023
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRR9M53JJArezD,"Let me tell you one thing - I belong from India and I started to use the Internet in 2012. I was 12 years old when this movie came out. But there were no theatres near where I lived. Also on tv, they didn't put the trailer. I was dying to see this masterpiece. And this rocket firing scene was the only piece of the movie which I saw for 3 years (on some cable ads) until I got to see the whole film in 2011.",3 years ago,@VY-zt3ph,UCjBz-7DPNfA0SwX_RwQzdAg,27,,https://yt3.ggpht.com/ytc/AIdro_k7G2XVQM4t36HH-rympN5LlZsdCppzsq-Zoa-eT8Y=s88-c-k-c0x00ffffff-no-rj,False,True,1639357755.775116
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRR9PdArp2w0aB,"Maybe. But I’ll see your claim and raise you a Thor Cap and Tony looking at Thanos and Thor lightning transforming.

Just as long we’re in agreement lol",3 years ago,@sdzyde7482,UCP7bjila8cqaPBRApCFKzUQ,3,,https://yt3.ggpht.com/ytc/AIdro_mLKo4zn4ghlVvSWH-Y2qRXHhemowyv5O-IaLuog671NQ=s88-c-k-c0x00ffffff-no-rj,False,True,1639357755.776116
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRR9RZ5JpNjQUD,"yes true , but the most important part/scene is ""don't waste your life"" and this is what made tony stark  to iron man and all this happened , thanks yinsen.",3 years ago,@shubhamsumit9161,UCwHJ8XYg_jwyuuHuLLzaU1g,3,,https://yt3.ggpht.com/ytc/AIdro_lVZ8hgv-OGiaqzXKBiVhbLlXCmmiVXmLuMxG_uebaJ6w=s88-c-k-c0x00ffffff-no-rj,False,True,1639357755.777115
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRR9l74LTaoG1X," @goodbadbill  The addition of Black Sabbath music exactly with Tony' march in this trailer, is what makes it UNIQUE....!",1 year ago,@JohnDoe-cc4xp,UCxxpbfrS0D6hVJ8hhs1wIig,0,,https://yt3.ggpht.com/ytc/AIdro_keMQE_AZwgEV9iwqsEsIfwbmknyjGhrjvE7WBLQSgMvw=s88-c-k-c0x00ffffff-no-rj,False,True,1702429756.012449
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRRA3kwQtGrLRF,"and you know whats best? it wasnt one of those bs ""im cool"" walk aways, instead there was a reason for him to walk that way, he was moving towards his next objective a few steps further",6 months ago,@Paradoxical_heuer,UCWKlgYrFDj5U7d17sXVN1iQ,0,,https://yt3.ggpht.com/e1N7JIV4qijraS_cI3ySOaMfAprUIg-Vt6-FBh2HCq9QecJpAKOI3EVrPTWsDnoN7R8F28WAuw=s88-c-k-c0x00ffffff-no-rj,False,True,1718237356.018444
UgwLuOOB4I59Am1mo-54AaABAg.9ADNix1ZrRRA6UTRt5qA1v,"Just looks long enough to check the missile has gone in the tank and casually turns and walks, love it!",4 months ago,,UCFGnHxhyhJalLWztaH4LTDg,0,,https://yt3.ggpht.com/ytc/AIdro_kOrnrlWifFJPFrLV84LZRHW3Qq8FwVqSBRLkwtz7Ulk4U=s88-c-k-c0x00ffffff-no-rj,False,True,1723507756.022443
Ugz4PrDseNfv6LxnghJ4AaABAg.8goY4fqvmhI9Lzk8X6I9pU,yup. even the iron man theme in this movie has a guitar with heavy riffs. In ironman 2 and 3 they changed the theme to have more of an ensemble orchestra sound.,3 years ago,@jerryakamuadams6399,UC4iEbExnhENfHYI7jWp6Zcg,1,,https://yt3.ggpht.com/ytc/AIdro_kjUVrqCB6UWF75gLzU932nE3hFxWgq9DnF2J5ZgTdjAIb7ONkpz4bBRKOhrX02vgoUJA=s88-c-k-c0x00ffffff-no-rj,False,True,1639357756.281626
Ugz4PrDseNfv6LxnghJ4AaABAg.8goY4fqvmhI9tDJQlneS0P,"​ @shillofnothing9195 A little late to answer, but that's ""Cochise"" by Audioslave. A hell of a banger!",1 year ago (edited),@alejandrocamberosrodriguez4222,UC6Gfph2xuOcmy-OGe2FcEeg,1,,https://yt3.ggpht.com/ytc/AIdro_n9cMFpSfETSej6GRcdMN21gfH2-K_WVIOQY0I8DTRb=s88-c-k-c0x00ffffff-no-rj,False,True,1702429756.285633
Ugx5CiAxje8dWDdVTjp4AaABAg.9AnVlAv3ml39Lqnr8mSAGQ, @tx_7134  actually it starts with Captain Marvel. She’s the reason Nick Fury decided to start the Avengers initiative.,3 years ago,@SpiderManMCUniverse,UCRN_r9X232ku--U0DLUVSAQ,8,,https://yt3.ggpht.com/ITk_8hmt5ad3RNFcSsv8S2kyqaUQeSSahDN5_7jpOf-kaxHDz2JX67uXLaRvzIzgia12lvoLXg=s88-c-k-c0x00ffffff-no-rj,False,True,1639357756.838422
Ugx5CiAxje8dWDdVTjp4AaABAg.9AnVlAv3ml39MrFRg4s97N," @tx_7134  No, he’s the first Avenger because he was alive decades before people like Tony and Bruce and others. Thor doesn’t count because he’s not human. Also Steve was the only one back in his time to do heroic acts and ‘avenge’.",3 years ago,@SpiderManMCUniverse,UCRN_r9X232ku--U0DLUVSAQ,4,,https://yt3.ggpht.com/ITk_8hmt5ad3RNFcSsv8S2kyqaUQeSSahDN5_7jpOf-kaxHDz2JX67uXLaRvzIzgia12lvoLXg=s88-c-k-c0x00ffffff-no-rj,False,True,1639357756.840422
